u,v
0,1
0,2
0,6
0,7
0,14
0,15
0,18
0,20
0,27
0,34
1,8
1,13
1,20
1,23
1,27
2,3
2,5
2,13
2,17
2,18
2,26
3,8
3,9
3,12
3,21
3,22
3,24
3,25
3,27
3,29
3,32
3,33
4,7
4,12
4,18
4,21
4,27
4,28
4,31
5,6
5,9
5,10
5,13
5,16
5,18
5,19
5,20
5,23
5,31
6,26
7,10
7,14
7,19
7,24
7,27
8,10
8,12
8,15
8,16
8,23
8,27
8,28
8,31
8,32
8,33
9,20
9,21
9,22
9,24
9,26
9,29
9,31
9,34
10,11
10,12
10,20
10,22
10,25
10,32
10,33
11,17
11,30
12,26
12,32
13,18
13,23
13,24
13,34
14,15
14,17
14,18
14,23
14,26
14,29
15,21
15,22
15,25
15,26
15,27
15,28
15,31
16,18
16,25
16,28
16,30
17,20
17,21
17,23
17,27
18,22
18,28
18,29
18,30
18,32
18,33
19,21
19,25
19,27
19,28
20,26
20,27
20,28
20,33
20,34
21,23
21,25
21,26
21,28
21,33
22,25
22,29
23,25
23,26
23,31
23,32
23,34
24,26
26,27
26,28
26,32
26,33
27,31
28,29
28,31
28,34
29,33
30,31
30,34
31,33
