deg,freq
42,4
40,31
37,2
29,1
35,6
36,7
27,2
90,1
82,1
55,4
94,1
33,2
53,48
54,31
128,1
21,2
118,1
119,20
22,3
50,2
63,11
166,1
69,1
65,4
66,29
46,2
34,1
18,4
209,1
12,28
9,27
206,3
71,2
41,11
138,2
43,59
140,8
139,128
121,2
24,7
16,6
59,1
62,2
15,8
99,80
2,132
39,1
25,18
26,10
125,2
28,2
64,14
17,4
20,8
19,27
61,2
8,47
205,42
11,11
305,1
108,1
135,1
67,6
164,1
746,1
57,10
107,1
7,42
204,62
10,16
60,2
4,97
201,3
13,8
23,1
120,13
314,1
142,51
1,475
101,1
48,5
145,1
172,1
52,1
149,1
56,2
106,1
6,39
203,9
14,4
44,15
141,16
100,5
3,61
47,3
144,6
5,88
49,6
146,1
58,23
951,1
