deg,freq
24,2
10,6
75,3
22,5
13,12
14,21
12,23
93,2
92,5
89,20
107,1
19,3
37,2
30,1
15,20
39,8
16,13
38,24
40,8
91,2
85,11
18,7
94,3
41,13
64,3
49,8
173,1
47,26
68,3
171,14
121,15
153,6
172,9
26,13
123,1
119,32
122,11
152,30
55,6
170,41
73,1
51,7
61,2
58,5
156,4
59,4
141,4
44,39
11,8
154,1
57,2
143,3
46,40
139,123
42,7
31,3
129,3
32,5
125,1
28,11
124,2
27,25
130,1
33,3
120,28
23,2
21,12
88,64
140,10
43,52
90,3
17,32
114,3
20,24
9,8
50,6
147,3
3,50
100,4
53,32
6,36
29,6
34,2
81,8
86,6
52,19
149,1
8,15
54,12
7,19
142,3
45,17
87,6
0,398
48,24
1,59
2,60
199,2
5,62
82,14
84,71
101,2
4,65
157,1
60,5
83,17
