u,v
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
97,68
97,52
97,43
97,85
97,37
97,50
97,73
97,36
97,48
97,60
97,82
97,45
97,22
97,17
97,47
97,72
97,39
97,74
97,90
97,57
97,63
97,61
97,16
97,32
97,1
97,23
97,93
97,87
97,24
97,91
97,81
97,46
97,8
97,27
97,67
97,98
97,21
97,51
97,66
97,62
97,5
97,80
97,18
97,99
97,3
97,31
97,59
97,30
97,76
97,94
97,56
97,70
97,44
95,80
95,1
95,87
95,78
95,45
95,51
95,27
95,22
95,62
95,36
95,54
95,73
95,23
95,16
95,5
95,3
95,44
95,8
95,94
95,99
95,74
95,82
95,72
95,98
95,63
95,66
95,32
95,53
95,68
95,70
95,61
95,81
95,31
95,39
95,57
95,67
95,17
95,18
95,56
95,90
95,21
95,76
95,43
95,46
95,47
95,93
95,50
95,59
95,30
95,60
95,85
95,48
95,24
95,37
95,91
95,52
93,90
91,32
91,68
91,66
89,4
89,13
89,28
82,56
82,99
82,5
82,66
82,72
82,30
82,27
82,61
82,57
82,76
82,45
82,81
82,48
82,85
82,87
82,68
82,51
82,60
82,47
82,50
82,93
82,70
82,8
82,21
82,80
82,73
82,23
82,31
82,63
82,37
82,3
82,22
82,17
82,1
82,36
82,74
82,67
82,94
82,16
82,43
82,24
82,18
82,90
82,91
82,32
82,46
82,59
82,52
82,62
82,39
82,44
82,98
80,21
80,61
80,50
80,43
80,94
80,45
80,76
80,62
80,59
80,68
80,91
80,23
80,44
80,90
80,73
80,30
80,31
80,37
80,17
80,39
80,32
80,18
80,60
80,48
80,8
80,36
80,57
80,1
80,87
80,99
80,56
80,47
80,52
80,81
80,85
80,72
80,70
80,46
80,63
80,98
80,22
80,51
80,3
80,93
80,74
80,16
80,80
80,66
80,24
80,67
80,27
80,5
79,62
79,23
79,59
79,70
79,37
79,93
79,73
79,48
79,1
79,87
79,99
79,52
79,5
79,61
79,46
79,80
79,30
79,66
79,32
79,72
79,81
79,67
79,82
79,90
79,68
79,36
79,51
79,60
79,91
79,56
79,50
79,17
79,94
79,76
79,43
79,3
79,74
79,44
79,39
79,8
79,24
79,22
79,98
79,27
79,47
79,16
79,57
79,63
79,31
79,45
79,18
79,21
79,85
76,70
76,47
76,90
76,91
76,68
76,60
76,18
76,30
76,67
76,21
76,43
76,27
76,22
76,3
76,99
76,17
76,44
76,66
76,56
76,24
76,8
76,59
76,73
76,63
76,85
76,37
76,16
76,81
76,52
76,94
76,57
76,87
76,46
76,5
76,32
76,98
76,62
76,51
76,36
76,23
76,93
76,31
76,1
76,72
76,39
76,50
76,61
76,45
76,74
76,48
74,63
74,94
74,1
74,60
74,21
74,72
74,32
74,3
74,73
74,70
74,93
74,52
74,18
74,22
74,30
74,46
74,23
74,51
74,68
74,56
74,36
74,39
74,59
74,45
74,44
74,66
74,81
74,62
74,16
74,8
74,98
74,47
74,61
74,31
74,5
74,24
74,99
74,50
74,91
74,90
74,67
74,17
74,87
74,57
74,43
74,48
74,37
74,27
74,85
73,5
73,85
73,45
73,37
73,47
73,52
73,61
73,50
73,91
73,24
73,60
73,1
73,94
73,62
73,59
73,90
73,72
73,23
73,57
73,51
73,36
73,32
73,66
73,87
73,46
73,68
73,21
73,48
73,93
73,98
73,56
73,63
73,31
73,39
73,16
73,70
73,18
73,43
73,3
73,17
73,8
73,22
73,67
73,81
73,44
73,99
73,30
73,27
72,53
72,60
72,93
72,70
72,31
72,32
72,57
72,81
72,56
72,23
72,87
72,22
72,36
72,61
72,98
72,30
72,39
72,27
72,63
72,52
72,94
72,21
72,62
72,46
72,16
72,8
72,43
72,99
72,50
72,47
72,18
72,37
72,24
72,51
72,5
72,1
72,45
72,17
72,44
72,68
72,85
72,67
72,66
72,59
72,3
72,90
72,48
72,91
71,90
68,60
68,39
68,36
68,47
68,44
68,90
68,43
68,99
68,61
68,98
68,31
68,50
68,81
68,2
68,71
68,94
68,93
68,24
68,18
68,46
68,21
68,62
68,87
68,48
68,16
68,52
68,85
68,1
68,8
68,3
68,17
68,45
68,27
68,57
68,37
68,22
68,6
68,70
68,30
68,32
68,5
68,59
68,56
68,63
68,51
68,23
68,67
68,66
59,23
59,32
59,39
59,3
59,85
59,30
59,47
59,5
59,61
59,94
59,60
59,90
59,45
59,17
59,66
59,8
59,31
59,24
59,36
59,93
59,22
59,48
59,27
59,70
59,91
59,43
59,81
59,44
59,63
59,52
59,37
59,1
59,98
59,56
59,51
59,21
59,87
59,99
59,67
59,18
59,57
59,15
59,50
59,46
59,16
59,62
57,3
57,18
57,56
57,1
57,99
57,94
57,67
57,43
57,48
57,50
57,23
57,8
57,44
57,93
57,66
57,98
57,31
57,46
57,32
57,30
57,87
57,17
57,61
57,52
57,37
57,16
57,24
57,36
57,91
57,27
57,81
57,45
57,47
57,5
57,62
57,22
57,21
57,70
57,39
57,60
57,85
57,90
57,51
57,63
52,23
52,30
52,61
52,37
52,66
52,99
52,22
52,45
52,31
52,3
52,1
52,93
52,8
52,32
52,50
52,90
52,94
52,67
52,70
52,16
52,85
52,98
52,27
52,60
52,56
52,48
52,63
52,87
52,44
52,39
52,91
52,17
52,62
52,46
52,36
52,47
52,5
52,51
52,24
52,21
52,18
52,81
52,43
51,90
51,29
50,27
50,39
50,31
50,66
50,17
50,24
50,32
50,61
50,99
50,62
50,94
50,21
50,3
50,23
50,45
50,30
50,47
50,36
50,5
50,22
50,87
50,70
50,98
50,63
50,67
50,46
50,8
50,43
50,56
50,1
50,37
50,81
50,16
50,91
50,18
50,90
50,85
50,48
50,60
50,44
50,93
50,51
49,90
48,5
44,56
44,3
44,69
44,91
44,62
44,5
44,22
44,17
44,43
44,27
44,21
44,66
44,31
44,39
44,60
44,18
44,96
44,37
44,16
44,15
44,67
44,8
44,99
44,87
44,23
44,61
44,30
44,32
44,90
44,45
44,85
44,1
44,46
44,98
44,36
44,70
44,47
44,48
44,93
44,63
44,51
44,81
44,24
44,94
37,23
37,21
37,8
37,1
37,16
37,61
37,56
37,48
37,5
37,98
37,47
37,31
37,45
37,63
37,51
37,67
37,39
37,3
37,87
37,93
37,22
37,18
37,62
37,24
37,33
37,94
37,46
37,17
37,36
37,81
37,32
37,90
37,43
37,60
37,27
